October 2015 ASP NDC - HCPCS Crosswalk for Medicare Part B Drugs,,,,,,,,,
"     Effective October 1, 2015 through December 31, 2015",,,,,,,,,
,,,,,,,,,
Note 1: This crosswalk is based on published drug and biological pricing data and information submitted to CMS by manufacturers. The information is intended to support ASP-based ,,,,,,,,,
Medicare Part B payments only. ,,,,,,,,,
Note 2: Please submit comments on the crosswalk to e-mail address: sec303aspdata@cms.hhs.gov. ,,,,,,,,,
,,,,,,,,,
_2015_CODE,Short Description,LABELER NAME,NDC2,Drug Name,HCPCS dosage,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
90371,"Hep b ig, im","Grifols Therapeutics, Inc.",13533-0636-01,HyperHepB S/D,1 ML,1,1,1,1
90371,"Hep b ig, im","Grifols Therapeutics, Inc.",13533-0636-02,HyperHepB S/D,1 ML,1,1,1,1
90371,"Hep b ig, im","Grifols Therapeutics, Inc.",13533-0636-03,HyperHepB S/D,1 ML,0.5,1,0.5,0.5
90371,"Hep b ig, im","Grifols Therapeutics, Inc.",13533-0636-05,HyperHepB S/D,1 ML,5,1,5,5
90371,"Hep b ig, im",Biotest Pharmaceuticals Corporation,59730-4202-01,Nabi-Hb,1 ML,1,1,1,1
90371,"Hep b ig, im",Biotest Pharmaceuticals Corporation,59730-4203-01,Nabi-Hb,1 ML,5,1,5,5
90375,"Rabies ig, im/sc","Grifols Therapeutics, Inc.",13533-0618-02,HyperRab S/D,150 IU,2,1,2,2
90375,"Rabies ig, im/sc","Grifols Therapeutics, Inc.",13533-0618-03,HyperRab S/D,150 IU,2,1,2,2
90375,"Rabies ig, im/sc","Grifols Therapeutics, Inc.",13533-0618-10,HyperRab S/D,150 IU,10,1,10,10
90376,"Rabies ig, heat treated",sanofi pasteur,49281-0190-10,Imogam Rabies-Ht,150 IU,10,1,10,10
90376,"Rabies ig, heat treated",sanofi pasteur,49281-0190-20,Imogam Rabies-Ht,150 IU,2,1,2,2
90585,"Bcg vaccine, percut","Organon USA, Inc.",00052-0602-02,Tice Bcg,50 MG,1,1,1,1
90585,"Bcg vaccine, percut","Organon USA, Inc.",00052-0603-02,Tice Bcg,50 MG,1,1,1,1
90586,"Bcg vaccine, intravesical","Organon USA, Inc.",00052-0602-02,Tice Bcg,1 EACH,1,1,1,1
90586,"Bcg vaccine, intravesical","Organon USA, Inc.",00052-0603-02,Tice Bcg,1 EACH,1,1,1,1
90586,"Bcg vaccine, intravesical",sanofi pasteur,49281-0880-03,Theracys,1 EACH,1,1,1,1
90632,"Hep a vaccine, adult im",Merck Sharp & Dohme Corp.,00006-4096-02,Vaqta,1 ML,1,10,1,10
90632,"Hep a vaccine, adult im",Merck Sharp & Dohme Corp.,00006-4096-09,VAQTA,1 ML,1,6,1,6
90632,"Hep a vaccine, adult im",Merck Sharp & Dohme Corp.,00006-4841-00,Vaqta,1 ML,1,1,1,1
90632,"Hep a vaccine, adult im",Merck Sharp & Dohme Corp.,00006-4841-41,Vaqta,1 ML,1,10,1,10
90632,"Hep a vaccine, adult im",A-S Medication Solutions,54569-5632-00,Vaqta,1 ML,1,1,1,1
90632,"Hep a vaccine, adult im",GlaxoSmithkline,58160-0826-11,Havrix,1 ML,1,10,1,10
90632,"Hep a vaccine, adult im",GlaxoSmithkline,58160-0826-52,Havrix,1 ML,1,10,1,10
90675,"Rabies vaccine, im",sanofi pasteur,49281-0250-51,Imovax Rabies,1 ML,1,1,1,1
90675,"Rabies vaccine, im",A-S Medication Solutions,54569-5575-00,Rabavert,1 ML,1,1,1,1
90675,"Rabies vaccine, im",Novartis Vaccines & Diagnostics,63851-0501-01,RABAVERT,1 ML,1,1,1,1
90675,"Rabies vaccine, im",Novartis Vaccines & Diagnostics,63851-0501-02,RABAVERT,1 ML,1,1,1,1
90691,"Typhoid vaccine, im",A-S Medication Solutions,54569-4110-00,Typhim Vi,0.5 ML,0.5,1,1,1
90691,"Typhoid vaccine, im",A-S Medication Solutions,54569-5567-00,Typhim Vi,0.5 ML,10,1,20,20
90714,"Td vaccine no prsrv >/= 7 yo, im",sanofi pasteur,49281-0215-10,Tetanus-Diphtheria Toxoids Td,0.5 ML,0.5,10,1,10
90714,"Td vaccine no prsrv >/= 7 yo, im",sanofi pasteur,49281-0215-15,Tetanus-Diphtheria Toxoids Td,0.5 ML,0.5,10,1,10
90714,"Td vaccine no prsrv >/= 7 yo, im",sanofi pasteur,49281-0291-10,DECAVAC,0.5 ML,1,10,1,10
90714,"Td vaccine no prsrv >/= 7 yo, im",sanofi pasteur,49281-0291-83,DECAVAC,0.5 ML,0.5,10,1,10
90715,"Tdap => 7 yo, im",sanofi pasteur,49281-0400-10,ADACEL,0.5 ML,0.5,10,1,10
90715,"Tdap => 7 yo, im",sanofi pasteur,49281-0400-15,ADACEL,0.5 ML,0.5,5,1,5
90715,"Tdap => 7 yo, im",GlaxoSmithkline,58160-0842-11,BOOSTRIX,0.5 ML,0.5,10,1,10
90715,"Tdap => 7 yo, im",GlaxoSmithkline,58160-0842-52,BOOSTRIX,0.5 ML,0.5,10,1,10
A9575,Inj gadoterate meglumi,Guerbet LLC,67684-2000-01,Dotarem,0.1 ML,10,10,100,1000
A9575,Inj gadoterate meglumi,Guerbet LLC,67684-2000-02,Dotarem,0.1 ML,15,10,150,1500
A9575,Inj gadoterate meglumi,Guerbet LLC,67684-2000-03,Dotarem,0.1 ML,20,10,200,2000
A9575,Inj gadoterate meglumi,Guerbet LLC,67684-2000-04,Dotarem,0.1 ML,100,6,1000,6000
A9575,Inj gadoterate meglumi,Guerbet LLC,67684-2000-05,Dotarem,0.1 ML,10,5,100,500
A9575,Inj gadoterate meglumi,Guerbet LLC,67684-2000-06,Dotarem,0.1 ML,15,5,150,750
A9575,Inj gadoterate meglumi,Guerbet LLC,67684-2000-07,Dotarem,0.1 ML,20,5,200,1000
A9576,Inj prohance multipack,BRACCO DIAGNOSTICS,00270-1111-70,Prohance Multipack,1 ML,50,5,50,250
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-12,Multihance,1 ML,5,5,5,25
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-13,Multihance,1 ML,10,5,10,50
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-14,Multihance,1 ML,15,5,15,75
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-15,Multihance,1 ML,20,5,20,100
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-18,Multihance,1 ML,10,5,10,50
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-19,MULTIHANCE 5X15 ML SYRINGE,1 ML,15,5,15,75
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-20,Multihance,1 ML,20,5,20,100
A9578,Inj multihance multipack,BRACCO DIAGNOSTICS,00270-5264-16,Multihance Multipack,1 ML,50,5,50,250
A9578,Inj multihance multipack,BRACCO DIAGNOSTICS,00270-5264-17,Multihance Multipack,1 ML,100,5,100,500
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-02,Optimark,1 ML,5,10,5,50
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-04,Optimark,1 ML,10,10,10,100
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-06,Optimark,1 ML,15,10,15,150
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-08,Optimark,1 ML,20,10,20,200
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-10,Optimark,1 ML,10,10,10,100
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-11,Optimark,1 ML,10,10,10,100
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-15,Optimark,1 ML,15,10,15,150
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-16,Optimark,1 ML,15,10,15,150
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-20,Optimark,1 ML,20,10,20,200
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-21,Optimark,1 ML,20,10,20,200
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-30,Optimark,1 ML,30,10,30,300
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-31,Optimark,1 ML,30,10,30,300
A9579,"Gad-base MR contrast NOS,1ml",Mallinckrodt,00019-1177-50,Optimark,1 ML,50,5,50,250
A9579,"Gad-base MR contrast NOS,1ml",BRACCO DIAGNOSTICS,00270-1111-01,Prohance,1 ML,10,5,10,50
A9579,"Gad-base MR contrast NOS,1ml",BRACCO DIAGNOSTICS,00270-1111-02,Prohance,1 ML,15,5,15,75
A9579,"Gad-base MR contrast NOS,1ml",BRACCO DIAGNOSTICS,00270-1111-03,Prohance,1 ML,20,5,20,100
A9579,"Gad-base MR contrast NOS,1ml",BRACCO DIAGNOSTICS,00270-1111-04,Prohance,1 ML,5,5,5,25
A9579,"Gad-base MR contrast NOS,1ml",BRACCO DIAGNOSTICS,00270-1111-16,Prohance Prefilled Syringes,1 ML,10,5,10,50
A9579,"Gad-base MR contrast NOS,1ml",BRACCO DIAGNOSTICS,00270-1111-45,Prohance Prefilled Syringes,1 ML,17,5,17,85
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-05,Omniscan,1 ML,5,10,5,50
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-10,Omniscan,1 ML,10,10,10,100
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-12,Omniscan,1 ML,10,10,10,100
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-15,Omniscan,1 ML,15,10,15,150
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-17,Omniscan,1 ML,15,10,15,150
