ContractNumber,VendorName,ContractStartDate,ContractStopDate,NDCWithDashes,SubItemIdentifier,PackageDescription,Generic,TradeName,VAClass,Covered,PrimeVendor,Price,PriceStartDate,PriceStopDate,PriceType
V797P-2005D,"Kremers Urban Pharmaceuticals, Inc., c/o UCB, Inc.",01/01/2012,12/31/2016,62175-0118-49,,40X45000,"OMEPRAZOLE 20MG CAP,SA",OMEPRAZOLE 20MG CAP,GA900,F,F,144000,08/15/2012,12/31/2016,FSS
V797D-5001E,"Retrophin, Inc",10/01/2014,10/31/2015,45043-0002-02,,90,CHOLIC ACID 100MG CAP,CHOLBAM 100MG CAP,GU900,T,F,57057.29,09/15/2015,10/31/2015,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0501-00,,100,POMALIDOMIDE 1MG CAP,POMALYST 1MG CAP,IM900,T,T,47516.49,01/01/2015,10/14/2016,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0502-00,,100,POMALIDOMIDE 2MG CAP,POMALYST 2MG CAP,IM900,T,T,47516.49,01/01/2015,10/14/2016,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0503-00,,100,POMALIDOMIDE 3MG CAP,POMALYST 3MG CAP,IM900,T,T,47516.49,01/01/2015,10/14/2016,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0504-00,,100,POMALIDOMIDE 4MG CAP,POMALYST 4MG CAP,IM900,T,T,47516.49,01/01/2015,10/14/2016,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0402-00,,100,"LENALIDOMIDE 2.5MG CAP,ORAL",REVLIMID 2.5MG CAP,IM900,T,F,40130.62,01/01/2015,10/14/2016,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0420-00,,100,LENALIDOMIDE 20MG CAP,REVLIMID 20MG CAP,IM900,T,F,39699.89,01/01/2015,10/14/2016,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0425-00,,100,LENALIDOMIDE 25MG CAP,REVLIMID 25MG CAP,IM900,T,F,39297.64,01/01/2015,10/14/2016,FSS
V797D-40269,"Pfizer, Inc.",11/01/2014,10/31/2019,00071-0156-94,,5000,ATORVASTATIN CA 20MG TAB,LIPITOR 20MG TAB,CV350,T,T,39020.53,01/01/2015,10/31/2019,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0415-00,,100,LENALIDOMIDE 15MG CAP,REVLIMID 15MG CAP,IM900,T,F,37803.66,01/01/2015,10/14/2016,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0205-94,,280,THALIDOMIDE 50MG CAP,THALOMID 50MG CAP 10X28,IM900,T,T,37302.07,01/01/2015,10/14/2016,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0501-00,,100,POMALIDOMIDE 1MG CAP,POMALYST 1MG CAP,IM900,T,T,36565.48,01/01/2015,10/14/2016,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0503-00,,100,POMALIDOMIDE 3MG CAP,POMALYST 3MG CAP,IM900,T,T,36501.73,01/01/2015,10/14/2016,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0504-00,,100,POMALIDOMIDE 4MG CAP,POMALYST 4MG CAP,IM900,T,T,36075.37,01/01/2015,10/14/2016,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0502-00,,100,POMALIDOMIDE 2MG CAP,POMALYST 2MG CAP,IM900,T,T,36036.2,01/01/2015,10/14/2016,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0410-00,,100,"LENALIDOMIDE 10MG CAP,ORAL",REVLIMID 10MG CAP,IM900,T,F,34690.93,01/01/2015,10/14/2016,FSS
V797D-30142,Corcept Therapeutics Incorporated,04/01/2013,03/31/2018,76346-0073-02,,280,MIFEPRISTONE 300MG TAB,KORYLM 300MG TAB,HS900,T,T,34432.31,01/01/2015,03/31/2018,FSS
