DRAFT,,,,,,,
CMS,,,,,,,
NADAC Reference File as of 11/22/2012,,,,,,,
NDC Description,NDC,"NADAC
Per Unit",Pharmacy Type Indicator,OTC,Date,Explanation Code,Update
A + D FIRST AID OINTMENT,11523720401,0.04903,C/I,Y,41235.0,"2, 5, 6",N
A + D OINTMENT,11523009601,0.04903,C/I,Y,41235.0,"2, 5, 6",N
A + D OINTMENT,11523009602,0.02967,C/I,Y,41235.0,"2, 5, 6",N
A/B OTIC EAR DROPS,00904079310,0.66759,C/I,N,41235.0,"1, 5",Y
A/B OTIC EAR DROPS,24208056162,0.66759,C/I,N,41235.0,"1, 5",Y
A/B OTIC EAR DROPS,42192070810,0.66759,C/I,N,41235.0,"1, 5",Y
A/B OTIC EAR DROPS,42192071015,0.49133,C/I,N,41235.0,"1, 5",Y
A/B OTIC EAR DROPS,43199001615,0.49133,C/I,N,41235.0,"1, 5",Y
A/B OTIC EAR DROPS,64376043815,0.49133,C/I,N,41235.0,"1, 5",Y
A/B OTIC EAR DROPS,66424052035,0.49133,C/I,N,41235.0,"1, 5",Y
A+D ZINC OXIDE CREAM,11523131402,0.03009,C/I,Y,41235.0,"1, 5, 6",N
ABACAVIR SULFATE 300 MG TAB,00378410591,7.75766,C/I,N,41235.0,1.0,Y
ABILIFY 1 MG/ML SOLN,59148001315,4.14608,C/I,N,41235.0,"2, 5",N
ABILIFY 10 MG TAB,59148000813,18.75739,C/I,N,41235.0,2.0,N
ABILIFY 10 MG TAB,59148000835,18.75739,C/I,N,41235.0,2.0,N
ABILIFY 15 MG TAB,59148000913,18.70235,C/I,N,41235.0,2.0,N
ABILIFY 15 MG TAB,59148000935,18.70235,C/I,N,41235.0,2.0,N
ABILIFY 2 MG TAB,59148000613,18.74811,C/I,N,41235.0,2.0,N
ABILIFY 20 MG TAB,59148001013,26.35467,C/I,N,41235.0,2.0,N
ABILIFY 20 MG TAB,59148001035,26.35467,C/I,N,41235.0,2.0,N
ABILIFY 30 MG TAB,59148001113,26.39542,C/I,N,41235.0,2.0,N
ABILIFY 30 MG TAB,59148001135,26.39542,C/I,N,41235.0,2.0,N
ABILIFY 5 MG TAB,59148000713,18.70716,C/I,N,41235.0,2.0,N
ABILIFY 5 MG TAB,59148000735,18.70716,C/I,N,41235.0,2.0,N
ABREVA 10 % CREAM (G),00135020001,6.91629,C/I,Y,41235.0,"2, 5",N
ABREVA 10 % CREAM (G),00135020003,6.91629,C/I,Y,41235.0,"2, 5",N
ACANYA GEL PUMP,13548013250,4.97133,C/I,N,41235.0,"1, 5",Y
ACARBOSE 100 MG TAB,00054014225,0.52237,C/I,N,41235.0,1.0,Y
ACARBOSE 100 MG TAB,00115115201,0.52237,C/I,N,41235.0,1.0,Y
ACARBOSE 100 MG TAB,00115115202,0.52237,C/I,N,41235.0,1.0,Y
ACARBOSE 100 MG TAB,00378282210,0.52237,C/I,N,41235.0,1.0,Y
ACARBOSE 100 MG TAB,00378282277,0.52237,C/I,N,41235.0,1.0,Y
ACARBOSE 100 MG TAB,16252052501,0.52237,C/I,N,41235.0,1.0,Y
ACARBOSE 25 MG TAB,00054014025,0.38562,C/I,N,41235.0,1.0,Y
ACARBOSE 25 MG TAB,00115115001,0.38562,C/I,N,41235.0,1.0,Y
ACARBOSE 25 MG TAB,00115115002,0.38562,C/I,N,41235.0,1.0,Y
ACARBOSE 25 MG TAB,00378282010,0.38562,C/I,N,41235.0,1.0,Y
ACARBOSE 25 MG TAB,00378282077,0.38562,C/I,N,41235.0,1.0,Y
ACARBOSE 25 MG TAB,16252052301,0.38562,C/I,N,41235.0,1.0,Y
ACARBOSE 50 MG TAB,00054014120,0.43271,C/I,N,41235.0,1.0,Y
ACARBOSE 50 MG TAB,00054014125,0.43271,C/I,N,41235.0,1.0,Y
ACARBOSE 50 MG TAB,00115115101,0.43271,C/I,N,41235.0,1.0,Y
ACARBOSE 50 MG TAB,00115115102,0.43271,C/I,N,41235.0,1.0,Y
ACARBOSE 50 MG TAB,00378282110,0.43271,C/I,N,41235.0,1.0,Y
ACARBOSE 50 MG TAB,00378282177,0.43271,C/I,N,41235.0,1.0,Y
ACARBOSE 50 MG TAB,16252052401,0.43271,C/I,N,41235.0,1.0,Y
ACCOLATE 20 MG TAB,00310040260,1.86623,C/I,N,41235.0,2.0,N
ACCOLATE 20 MG TAB,00310041260,1.86623,C/I,N,41235.0,2.0,N
ACCUNEB 0.63MG/3ML VIAL-NEB,49502069203,0.57771,C/I,N,41235.0,"4, 5",N
ACCUNEB 1.25 MG/3 ML SOLN,49502069303,0.59111,C/I,N,41235.0,"4, 5",N
ACCUPRIL 20 MG TAB,00071053223,2.0067,C/I,N,41235.0,4.0,N
ACCUPRIL 20 MG TAB,00071053240,2.0067,C/I,N,41235.0,4.0,N
ACCUPRIL 40 MG TAB,00071053523,2.00613,C/I,N,41235.0,4.0,N
ACEBUTOLOL 200 MG CAP,00378120001,0.17252,C/I,N,41235.0,1.0,Y
ACEBUTOLOL 200 MG CAP,65162066910,0.17252,C/I,N,41235.0,1.0,Y
ACEBUTOLOL 400 MG CAP,00378140001,0.21964,C/I,N,41235.0,1.0,Y
ACEBUTOLOL 400 MG CAP,65162067010,0.21964,C/I,N,41235.0,1.0,Y
ACETAMINOPHEN 100 MG/ML DROP,00603083873,0.12821,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 100 MG/ML DROP,24385028910,0.06778,C/I,Y,41235.0,"1, 5",Y
