DRAFT,,,,,,,,
CMS,,,,,,,,
NADAC Reference File as of 07/04/2013,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting"
12-HR DECONGEST 120 MG CAPLET,00113005452,0.33277,41445.0,EA,C/I,Y,1,G
12-HR DECONGEST 120 MG CAPLET,36800005452,0.33277,41445.0,EA,C/I,Y,1,G
12-HR DECONGEST 120 MG CAPLET,36800005460,0.33277,41445.0,EA,C/I,Y,1,G
12-HR DECONGEST 120 MG CAPLET,37205044652,0.33277,41445.0,EA,C/I,Y,1,G
12.5CPD-100GFN-30PSE LIQUID,66870022316,0.099,41417.0,ML,C/I,Y,"4, 5",G
12.5CPD-1DCPM-30PSE LIQUID,66870022016,0.10232,41445.0,ML,C/I,Y,"1, 5",G
4 WAY 1% NASAL SPRAY,00067208601,0.07641,41445.0,ML,C/I,Y,"1, 5",G
4 WAY 1% NASAL SPRAY,00067208605,0.21513,41326.0,ML,C/I,Y,"4, 5",G
4 WAY 1% NASAL SPRAY,00067208701,0.07641,41445.0,ML,C/I,Y,"1, 5",G
4 WAY 1% NASAL SPRAY,00067208705,0.21513,41326.0,ML,C/I,Y,"4, 5",G
8 HOUR ER 650 MG CAPLET,46122006271,0.06231,41445.0,EA,C/I,Y,1,G
8 HOUR ER 650 MG CAPLET,46122006278,0.06231,41445.0,EA,C/I,Y,1,G
A + D FIRST AID OINTMENT,11523720401,0.04903,41326.0,GM,C/I,Y,"2, 5, 6",B
A + D OINTMENT,11523009601,0.04903,41326.0,GM,C/I,Y,"2, 5, 6",B
A + D OINTMENT,11523009602,0.03038,41326.0,GM,C/I,Y,"2, 5, 6",B
A+D ZINC OXIDE CREAM,11523131401,0.04873,41382.0,GM,C/I,Y,"2, 5, 6",B
A+D ZINC OXIDE CREAM,11523131402,0.03034,41445.0,GM,C/I,Y,"1, 5, 6",B
A-MANTLE CREAM,10337090452,0.37173,41354.0,GM,C/I,Y,"4, 5",G
ABACAVIR 300 MG TABLET,00378410591,6.2043,41445.0,EA,C/I,N,1,G
ABACAVIR 300 MG TABLET,51079020401,6.2043,41445.0,EA,C/I,N,1,G
ABACAVIR 300 MG TABLET,51079020406,6.2043,41445.0,EA,C/I,N,1,G
ABACAVIR 300 MG TABLET,60505358306,6.2043,41445.0,EA,C/I,N,1,G
ABACAVIR 300 MG TABLET,65862007360,6.2043,41445.0,EA,C/I,N,1,G
ABACAVIR 300 MG TABLET,68084002121,6.2043,41459.0,EA,C/I,N,"1, 6",G
ABILIFY 1 MG/ML SOLUTION,59148001315,4.73227,41395.0,ML,C/I,N,"2, 5",B
ABILIFY 10 MG TABLET,59148000813,21.85124,41395.0,EA,C/I,N,2,B
ABILIFY 10 MG TABLET,59148000835,21.85124,41395.0,EA,C/I,N,2,B
ABILIFY 15 MG TABLET,59148000913,21.78712,41395.0,EA,C/I,N,2,B
ABILIFY 15 MG TABLET,59148000935,21.78712,41395.0,EA,C/I,N,2,B
ABILIFY 2 MG TABLET,59148000613,21.84043,41395.0,EA,C/I,N,2,B
ABILIFY 20 MG TABLET,59148001013,30.70133,41395.0,EA,C/I,N,2,B
ABILIFY 20 MG TABLET,59148001035,30.70133,41395.0,EA,C/I,N,2,B
ABILIFY 30 MG TABLET,59148001113,30.7488,41395.0,EA,C/I,N,2,B
ABILIFY 30 MG TABLET,59148001135,30.7488,41395.0,EA,C/I,N,2,B
ABILIFY 5 MG TABLET,59148000713,21.99765,41395.0,EA,C/I,N,2,B
ABILIFY 5 MG TABLET,59148000735,21.99765,41395.0,EA,C/I,N,2,B
ABREVA 10% CREAM,00135020001,6.89403,41445.0,GM,C/I,Y,"1, 5",B
ABREVA 10% CREAM,00135020003,6.89403,41445.0,GM,C/I,Y,"1, 5",B
