DRAFT,,,,,,,,,,
CMS,,,,,,,,,,
Weekly NADAC Reference File as of 08/15/2013,,,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting","Corresponding
Generic Drug
NADAC
Per Unit","Corresponding
Generic Drug
Effective
Date"
12-HR DECONGEST 120 MG CAPLET,00113005452,0.32573,41473.0,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,36800005452,0.32573,41473.0,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,36800005460,0.32573,41473.0,EA,C/I,Y,1,G,,
12-HR DECONGEST 120 MG CAPLET,37205044652,0.32573,41473.0,EA,C/I,Y,1,G,,
12.5CPD-100GFN-30PSE LIQUID,66870022316,0.099,41417.0,ML,C/I,Y,"4, 5",G,,
12.5CPD-1DCPM-30PSE LIQUID,66870022016,0.10232,41445.0,ML,C/I,Y,"4, 5",G,,
4 WAY 1% NASAL SPRAY,00067208601,0.09835,41473.0,ML,C/I,Y,"1, 5",G,,
4 WAY 1% NASAL SPRAY,00067208701,0.09835,41473.0,ML,C/I,Y,"1, 5",G,,
4 WAY 1% NASAL SPRAY,00067208605,0.21513,41326.0,ML,C/I,Y,"4, 5",G,,
4 WAY 1% NASAL SPRAY,00067208705,0.21513,41326.0,ML,C/I,Y,"4, 5",G,,
8 HOUR ER 650 MG CAPLET,46122006271,0.06142,41473.0,EA,C/I,Y,1,G,,
8 HOUR ER 650 MG CAPLET,46122006278,0.06142,41473.0,EA,C/I,Y,1,G,,
A + D FIRST AID OINTMENT,11523720401,0.04903,41326.0,GM,C/I,Y,"2, 5, 6",B,,
A + D OINTMENT,11523009602,0.03038,41326.0,GM,C/I,Y,"2, 5, 6",B,0.01906,41480.0
A + D OINTMENT,11523009601,0.04903,41326.0,GM,C/I,Y,"2, 5, 6",B,,
A+D ZINC OXIDE CREAM,11523131402,0.03034,41445.0,GM,C/I,Y,"2, 5, 6",B,,
A+D ZINC OXIDE CREAM,11523131401,0.04873,41382.0,GM,C/I,Y,"2, 5, 6",B,,
A-MANTLE CREAM,10337090452,0.37173,41354.0,GM,C/I,Y,"4, 5",G,,
ABACAVIR 300 MG TABLET,00378410591,6.66843,41473.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,51079020401,6.66843,41473.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,51079020406,6.66843,41473.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,60505358306,6.66843,41473.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,65862007360,6.66843,41473.0,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,68084002121,6.66843,41473.0,EA,C/I,N,"1, 6",G,,
